Navigation Status,MMSI,Longitude,Latitude,Ship_Type
6,525016699,106.03898333333332,-5.271503333333333,Unknown ship type
0,525101872,106.11348,-5.963545,Cargo 
0,525019467,105.98486166666666,-5.910388333333334,Unknown ship type
0,525001136,105.90558,-5.9005133333333335,Passenger
0,525300875,106.12469833333331,-5.968953333333333,Fishing
5,548985000,105.9551,-6.01401,Unknown ship type
8,525010303,106.11785,-5.976898333333334,Unknown ship type
0,636015031,105.73831333333334,-6.045325,Unknown ship type
8,525300471,106.00364166666668,-5.906111666666667,Fishing
0,526250218,106.12084833333331,-5.955556666666666,Unknown ship type
0,636019957,105.977415,-5.97154,Unknown ship type
0,525021137,-91.764295,-95.59917666666666,Unknown ship type
15,525601854,106.02182833333332,-6.332691666666666,Search and rescue vessels
0,525024295,105.98112,-5.931258333333333,Unknown ship type
15,525701005,68.66250333333333,62.17481333333333,Tugs
0,525100600,105.99178166666668,-5.946646666666667,Cargo 
0,525121045,106.01017333333331,-5.859741666666666,Unknown ship type
15,525701200,106.10584666666666,-5.90855,Tugs
11,525401141,106.09381333333332,-6.832226666666666,High-speed craft
0,525007397,105.97280333333332,-5.951955,Passenger
0,525015377,105.93323166666669,-5.9223566666666665,Unknown ship type
3,525023329,106.09132,-5.90594,Unknown ship type
0,13788093,106.11389,-5.937305,Unknown ship type
0,525015491,105.991255,-5.954911666666667,Unknown ship type
15,525100250,106.05162166666666,-5.70476,Cargo 
15,525024239,106.12476166666669,-5.96887,Unknown ship type
8,525016636,106.12499,-5.984655,Unknown ship type
15,525001015,106.11342333333332,-5.937358333333333,Passenger
1,525100336,105.98324166666669,-5.959653333333334,Cargo 
8,525014065,106.12566666666666,-5.9445,Unknown ship type
1,525012201,105.62886166666668,-5.90051,Unknown ship type
15,525006281,106.10264,-5.9185083333333335,Passenger
8,525006403,106.12111166666666,-5.934453333333333,Passenger
8,525020371,106.12784666666668,-5.982638333333333,Unknown ship type
8,525501481,106.10194,-5.911356666666666,Pilot
0,525301368,106.05317333333332,-5.965346666666667,Fishing
11,525021328,106.10761833333332,-5.981841666666667,Unknown ship type
0,525400839,105.979235,-5.9621,High-speed craft
15,525963284,106.11093666666666,-5.981785,Unknown ship type
0,525200928,70.02293,68.86885166666667,Tankers
8,525003465,105.98111833333331,-5.936951666666666,Passenger
1,525012321,106.13101166666668,-5.949245,Unknown ship type
0,525500505,106.10461166666668,-5.947425,Pilot
15,525024056,105.75181166666668,-5.378625,Unknown ship type
0,525019409,105.97802333333334,-5.928191666666667,Unknown ship type
0,525501944,-91.83816166666666,-95.10981333333334,Pilot
0,525601581,-91.73552166666668,-95.59402666666666,Search and rescue vessels
0,525001068,106.1091,-5.9751666666666665,Passenger
0,525501989,-91.472775,-95.56957333333334,Pilot
1,525701087,106.12883333333332,-5.941,Tugs
0,636021432,105.95058333333331,-5.65245,Unknown ship type
2,525501780,106.10730333333332,-5.97962,Pilot
15,525201093,105.99251666666666,-5.924033333333333,Tankers
0,525005177,105.804765,-6.09715,Passenger
8,525700820,106.18257666666666,-5.83628,Tugs
0,525018198,81.26079666666666,67.53347666666667,Unknown ship type
0,525601851,-91.78287333333331,-46.844586666666665,Search and rescue vessels
0,525022100,105.98567333333334,-5.9520566666666666,Unknown ship type
0,636019175,105.99246,-6.589965,Unknown ship type
0,525800155,-91.81296166666668,-94.08270666666668,Sailing
0,370385000,68.17173,64.33209666666667,Unknown ship type
0,525300118,-91.76250833333332,-95.82018666666669,Fishing
0,374243000,105.91320666666668,-5.81363,Unknown ship type
0,525200941,106.35249833333332,-5.846135,Tankers
8,525006407,106.1064,-5.948165,Passenger
0,636025284,69.07402333333333,65.11589166666667,Unknown ship type
0,525010092,106.10901166666666,-5.978033333333333,Unknown ship type
0,525009341,-91.85618833333334,-95.711875,Passenger
15,525500603,105.97611666666668,-5.925008333333333,Pilot
15,525016693,105.93058666666668,-6.019105,Unknown ship type
1,441838000,105.941935,-5.984146666666667,Unknown ship type
0,525019408,105.979505,-5.919288333333333,Unknown ship type
15,525002068,105.98752833333332,-5.956515,Passenger
0,625005399,106.108235,-6.759696666666667,Passenger
0,372895000,105.62126666666668,-5.743923333333333,Sailing
0,525300595,106.11220666666668,-6.945346666666667,Fishing
11,525200009,106.0077,-5.9076,Tankers
1,525601570,106.11196,-5.9545216666666665,Search and rescue vessels
0,525200126,105.75628833333332,-5.682183333333334,Tankers
0,525401907,-92.06746833333334,-93.94429333333332,High-speed craft
0,525124884,80.43999666666667,67.63345333333334,Unknown ship type
1,525701011,106.11213,-6.583315,Tugs
0,525016449,-91.47280166666668,-95.57109166666666,Unknown ship type
1,525001125,105.99887166666667,-5.9367366666666666,Passenger
0,525701047,106.483575,-5.841275,Tugs
0,525300577,-91.67928166666668,-95.06060666666669,Fishing
5,525200301,106.10855666666669,-5.980658333333333,Tankers
0,525022129,106.10276166666668,-5.918611666666667,Unknown ship type
1,525300614,106.097435,-5.859655,Fishing
5,525900437,106.11098666666666,-5.98112,Other types of vessels
1,477899200,105.90574666666669,-6.020433333333333,Sailing
0,525600466,80.12341,72.815215,Search and rescue vessels
1,371168000,105.928465,-5.9897,Unknown ship type
0,525007177,106.05557,-6.00344,Passenger
0,525024001,105.74337333333334,-6.274801666666667,Unknown ship type
0,525200031,105.993295,-5.9505783333333335,Tankers
0,525024354,-91.85786833333331,-94.74009333333332,Unknown ship type
1,525016024,106.13693333333332,-5.951186666666667,Unknown ship type
